Category,Subcategory,Name,Location,Website,Map Coordinates,Mobile Numbers
Business Services,Advertising,Apollo Events and Advertisement Pvt. Ltd.,"Maharajgunj-4, Kathmandu, Kathmandu, Nepal",www.apolloevents.com.np,"27.7327445124804,85.3455898334961",9851197877
Business Services,Advertising,InDesign Media Pvt. Ltd.,"Sansari Maisthan, Biratnagar, Nepal",indesignmedia.net,"26.454616950506928,87.27447812205538",9852039585
Business Services,Advertising,Adhunik Entertainment,"shreepur-14, Birgunj, Nepal",www.adhunikstudio.com,"27.0244008819404,84.8796093463898",9845232706
Business Services,Advertising,Nepal Trekking Trails Pvt. Ltd.,"Naya Bazzar 17 Nepal, Kathmandu",www.nepaltrekkingtrails.com,"27.721841107012,85.3052051407226",9818852722
Business Services,Advertising,Haatemaalo online shopping & classified,"New Road, Kathmandu, Nepal",www.haatemaalo.com,"27.9760148542672,85.3478599937819",9803150150
Business Services,Advertising,Link Way Int'l Education Consultancy Pvt. Ltd.,"Siddhartha Chowk-04, Kaski, Nepal , Pokhara",www.linkway.edu.np,"28.2243893461697,83.9841297268867",9856018463
Business Services,Advertising,Raindrops Creation,"Lazimpat, Kathmandu, Nepal",www.raindropscreation.com,"27.7229034922392,85.3230106626177",9849167154
Business Services,Advertising,Nepal Planet Treks and Expedition,"Thamel , Kathamandu , Kathmandu, Nepal",www.nepalguideinfo.com,"27.7124063200965,85.3120994567871",9841613822
Business Services,Training,International Standard Icon- ISI NEPAL,"Balkumari,Kathmandu, Kathmandu, Nepal",http://www.isinepal.com,"27.7165884716738,85.3225708007813",9851117676
Business Services,Training,Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal, Biratnagar",www.acsnepal.com.np,"26.4543314084958,87.281789034605",9852026448
Business Services,Training,NIIT Dharan Centre,"Ratna Road, Dharan, Nepal",www.niitdharan.com.np,"26.8134026,87.2864953000001",9842234302
Business Services,Training,Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal , Birgunj",www.quickfix.com.np,"27.0119265244853,84.8727750778198",9801716000
Business Services,Training,Delta Educare Nepal,"2nd Floor, BBC Bhawan, Chipledhunga, Pokhara, Nepal",www.delta.edu.np,"28.223349632885206,83.98752469593695",9806777053
Business Services,Training,Triveni driving centre,"Chitwan,Bharatpur10,birendracampuschock,side of cg landmark,Nepal, Bharatpur",http://www.trivenidrivingcentre.business.site/,"27.6869878843569,84.428848102466",9855065477
Business Services,Training,Global Institute of Hotel Management & Tourism Technical Pvt. Ltd.,"Shantinagar Gate, Baneshwor, Kathmandu, Nepal",globalhotelmanagement.edu.np,"27.6869577741235,85.3425693511963",9841588259
Business Services,Training,JST Consultants,"Milap House, Sanepa, Lalitpur, Nepal, Kathmandu",www.jstcorpnepal.com,"27.6819984641696,85.3058472275734",9860930960
Business Services,Training,Geospatial Innovation Solution (GIS) Pvt. Ltd.,"Chabahil-7, Gaurighat, Kathmandu, Kathmandu, Nepal",www.geospatialnepal.com.np,"27.7137449198021,85.3512232301",9851073570
Business Services,Training,Global Wings Pvt. Ltd.,"Putalisadak, Kathmandu, Nepal",www.globalwings.edu.np,"27.7102787108462,85.3225708007813",9801062769
Business Services,Training,School of Information Technologies,"Raja Janak Marg, Tinkune , Kathmandu, Nepal",www.schoolofit.edu.np,"27.686972,85.347756",9861666678
Business Services,Training,Supra Services Pvt. Ltd.,"Kanibahal, Level 2, Ward No.6, Lalitpur 44600, Patan, Nepal",www.supraservices.com.np/,"27.667903,85.326461",9880597634
Business Services,Training,UNISTAR Education,"Siddhartha Chowk, Pokhara, Pokhara, Nepal",www.unistaredu.com,"28.2243267186929,83.9850279316306",9864428850
Business Services,Training,FLYTECH INTERNATIONAL AIR HOSTESS ACADEMY,"New Plaza, Putalisadak, Kathmandu, Nepal",www.flytech.com.np,"27.7009641689113,85.3228133762436",9841245427
Business Services,Training,ICA Training Centre,"Kriti Marg, Koteshwor, Kathmandu Nepal, Kathmandu",www.icacentre.com.np/,"27.6975121839591,85.3363037109375",9851035715
Business Services,Consultants,"P. R. Dhakal & Associates, Chartered Accountants","""Nirmal Shanti Bhawan"", No 74, 1st Floor, Zero KM, Pokhara, Nepal",www.prdassociates.com/,"28.2128321890432,83.9759463071823",9856014200
Business Services,Consultants,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Business Services,Consultants,GREEN TREE Developers Pvt. Ltd,"Sanepa, Lalitpur, Kathmandu, Nepal",www.igreenarchitects.com,"27.6771596608829,85.3094019257171",9801167224
Business Services,Consultants,Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal, Pokhara",http://www.tienepal.com,"28.2025654,83.985008",9856032278
Business Services,Consultants,Excellent Int'l Educational Institute,"New Baneshwor-10, Kathmandu Nepal, Kathmandu",http://www.excellentcoedu.com,"27.6910024851617,85.3353904187679",9851175547
Business Services,Consultants,Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal, Biratnagar",www.acsnepal.com.np,"26.4543314084958,87.281789034605",9852026448
Business Services,Consultants,Naxalaya Pvt. Ltd.,"Jhamshikhel chowk, Kathmandu, Nepal",http://www.naxalaya.com,"27.682774464007,85.3016819943084",9849102008
Business Services,Consultants,Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal , Birgunj",www.quickfix.com.np,"27.0119265244853,84.8727750778198",9801716000
Business Services,Consultants,ArEiCon Architects and Engineers Consultants,"Kupondole, Jawgal, Lalitpur, Nepal, Kathmandu",www.areicon.com.np,"27.6854534382742,85.318172313273",9849028039
Business Services,Consultants,Delta Educare Nepal,"2nd Floor, BBC Bhawan, Chipledhunga, Pokhara, Nepal",www.delta.edu.np,"28.223349632885206,83.98752469593695",9806777053
Business Services,Consultants,Edwise Studies Pvt. Ltd.,"Chipledhunga (Opposite of Dwa Complex), Pokhara, Nepal",www.edwise.edu.np/,"28.2239728136763,83.9892527461052",9856038212
Business Services,Consultants,WIPS Law Associates P. Ltd.,"7063, Kathamandu Metropolitan City-11, Ramshah Path, Thapathali, Kathmandu, Kathmandu, Nepal",www.wips.com.np,"27.6916464254624,85.3184080123901",9851084938
Business Services,Consultants,JST Consultants,"Milap House, Sanepa, Lalitpur, Nepal, Kathmandu",www.jstcorpnepal.com,"27.6819984641696,85.3058472275734",9860930960
Business Services,Consultants,B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor, Kathmandu, Nepal",www.brbmanagement.com,"27.680442155899,85.349284319412",9849027448
Business Services,Consultants,Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur, Kathmandu, Nepal",cbsnepal.com,"27.6589708256634,85.3217473626137",9851173362
Business Services,Consultants,Global Wings Pvt. Ltd.,"Putalisadak, Kathmandu, Nepal",www.globalwings.edu.np,"27.7102787108462,85.3225708007813",9801062769
Business Services,Human Resources,Modern Cleaning,"Balkumari-9, Lalitpur, Nepal",www.moderncleaning.com.np/,"27.7015339435638,85.3516734391451",9801084561
Business Services,Human Resources,International Standard Icon- ISI NEPAL,"Balkumari,Kathmandu, Kathmandu, Nepal",http://www.isinepal.com,"27.7165884716738,85.3225708007813",9851117676
Business Services,Human Resources,"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal, Kathmandu",thakurintl.com/,"27.7352592444415,85.3380549492323",9851187077
Business Services,Human Resources,Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal, Biratnagar",www.acsnepal.com.np,"26.4543314084958,87.281789034605",9852026448
Business Services,Human Resources,Avatar Human Resources Pvt. Ltd.,"Sinamangal, Shambhu Marg, Kathmandu, Nepal, Kathmandu",www.globalrecruitment.com.np,"27.7016918661456,85.3511524200439",9801003502
Business Services,Human Resources,Global Dream Recruitment Pvt. Ltd.,"Sharadha Chowk, Sinamangal, Kathmandu, Kathmandu, Nepal",www.globalrecruitment.com.np,"27.7012546800688,85.3499698808174",9801003502
Business Services,Human Resources,Link Way Int'l Education Consultancy Pvt. Ltd.,"Siddhartha Chowk-04, Kaski, Nepal , Pokhara",www.linkway.edu.np,"28.2243893461697,83.9841297268867",9856018463
Business Services,Human Resources,Sagar Recruitment Pvt. Ltd.,"Dhumbarahi, Kathmandu, Nepal, Kathmandu",www.sagarjob.com.np,"27.7289983484539,85.3441089391708",9851016252
Business Services,Human Resources,Delta Educare Nepal,"2nd Floor, BBC Bhawan, Chipledhunga, Pokhara, Nepal",www.delta.edu.np,"28.223349632885206,83.98752469593695",9806777053
Business Services,Human Resources,EK CALL HOME SOLUTIONS,"Matepani -12, opposite to Hill Point High School, Pokhara, Nepal",http://www.ekcallhs.com,"28.217268,84.004871",9856035404
Business Services,Human Resources,Easy Facilities Pvt. Ltd.,"Jarebar, Pokhara, Nepal",www.easypokhara.com,"28.2116149437726,83.9673216640949",9856026233
Business Services,Human Resources,Kantipur Management | BPO Company in Nepal,"Lagankhel-19, Lalitpur, Nepal, Lalitpur",kantipurmanagement.com,"27.669158331945756,85.32211976932746",9801800020
Business Services,Human Resources,ManpowerLink Pvt. Ltd.,"Prakash Marga - 4, Dhumbarahi, Kathmandu NEpal, Kathmandu",www.manpowerlink.com,"27.6971132059268,85.3502404689789",9801064086
Business Services,Human Resources,JST Consultants,"Milap House, Sanepa, Lalitpur, Nepal, Kathmandu",www.jstcorpnepal.com,"27.6819984641696,85.3058472275734",9860930960
Business Services,General Office Services,Metro Pest Control Service,"Dhapasi, Kathmandu, Nepal",www.metropest.blogspot.com,"27.76770958783,85.3273773193359",9863553355
Business Services,General Office Services,Modern Cleaning,"Balkumari-9, Lalitpur, Nepal",www.moderncleaning.com.np/,"27.7015339435638,85.3516734391451",9801084561
Business Services,General Office Services,GREEN TREE Developers Pvt. Ltd,"Sanepa, Lalitpur, Kathmandu, Nepal",www.igreenarchitects.com,"27.6771596608829,85.3094019257171",9801167224
Business Services,General Office Services,Janaki Furniture - Janaki Steel Industries,"Biratnagar, Lekhnath Marg 77 , Sarouchiya, Biratnagar, Nepal",janakifurniture.com,"26.4577139160022,87.273656325145",9852022147
Business Services,General Office Services,simrik Real Nepal Treks & Expedition (P) Ltd,"Nagarjun2, Gairigaun, Kathmandu, Nepal",www.simriknepaltreks.com/,"27.7151556,85.3102194000001",9849430866
Business Services,General Office Services,Tesla Air Conditioner,"Saibaba Marg,Banasthali, Kathmandu, Nepal",www.tesla.com.np,"27.7268672,85.2978239",9801164367
Business Services,General Office Services,Atrium Designers and Builders Pvt. Ltd.,"Anamnagar Kathmandu Nepal, Kathmandu",www.facebook.com/atriumdb,"27.6975294017283,85.3313038009219",9841641971
Business Services,General Office Services,Nepal kagaj stationery,"Yangal Colony, Yangal Chowk To Jaisidawal Road Purano Badhkeko Durbar, Near Om bhal, Kathmandu, Nepal",www.apollopapers.com,"27.7001720002354,85.3072392940521",9808167207
Business Services,General Office Services,Mac Support Pvt.Ltd,"kathmandu Nepal, Kathmandu",connect.instavc.com/,"27.7163574843145,85.3153610229492",9808612382
Business Services,General Office Services,Global Trade Solutions & Suppliers P.ltd,"Baluwatar Infront Shivapuri School, Kathmandu, Nepal",www.globaltrade.com.np,"27.7308406961229,85.3297336399555",9851177194
Business Services,General Office Services,EK CALL HOME SOLUTIONS,"Matepani -12, opposite to Hill Point High School, Pokhara, Nepal",http://www.ekcallhs.com,"28.217268,84.004871",9856035404
Business Services,General Office Services,Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune, Kathmandu, Nepal",www.pasalnepal.com,"27.6883683443276,85.3485724499207",9851134183
Business Services,General Office Services,Easy Facilities Pvt. Ltd.,"Jarebar, Pokhara, Nepal",www.easypokhara.com,"28.2116149437726,83.9673216640949",9856026233
Business Services,General Office Services,Global Adventure Trekking,"44600 Chakshibari Marg, Kathmandu, Nepal",www.globaladventuretrekking.com,"27.7151227608729,85.3101682662964",9841485631
Business Services,General Office Services,KEYSTONE TRADING HOUSE PVT. LTD.,"Bhat-Bhateni - 5, Kathmandu, Nepal, Kathmandu",www.kstone.com.np,"30.30989551325,84.65135175",9851224462
Business Services,General Office Services,Apollo Paper And Allied Industries,"Tinthana, Chandragiri, Kathmandu, Nepal",apollopaper.business.site,"27.6872617792186,85.2721425268606",9851079385
Business Services,General Office Services,B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor, Kathmandu, Nepal",www.brbmanagement.com,"27.680442155899,85.349284319412",9849027448
Business Services,General Office Services,Concept Vision Hospitality Services Pvt.Ltd.,"Kalanki-14, Kathmandu, Nepal",www.conceptvision.co,"27.6954412821208,85.280556678772",9851101205
Business Services,Printing,New Muktinath Traders and Suppliers,"Baidhyakhana Road, anamnagar-32 , Kathmandu, Nepal",http://www.muktinathtraders.com,"27.7023093056251,85.3236919641495",9851023378
Business Services,Printing,Quick Stamp House,"Adwait marg, Putalisadak-31, Kathmandu, Nepal",www.quickstamp.com.np,"27.7027557596878,85.3229570388794",9813893512
Business Services,Printing,AMAN MEDIA SERVICE,"Thapa Chawk-9 Janakpurdham, Janakpur, Nepal",www.amanmediaservice.com,"26.7424816933413,85.9237365753827",9801028181
Business Services,Printing,Caravan Readymade Company private limited,"Naya Thimi, Dakshinbarahi Marg,house no 21, Madhyapur Thimi, Nepal",www.caravan.com.np,"27.7027747576924,85.3365732729435",9851097552
Business Services,Printing,J.A.TRADERS,"Yangal,Kathmandu,Nepal, Kathmandu",www.jatraders.com,"27.7,85.3333333",9851149186
Business Services,Printing,Lucky Publication (P). Ltd.,"Tahachal, Campus Road, Kathmandu, Nepal",https://luckypublication.wordpress.com/,"27.7018271045048,85.3003953696327",9841569691
Business Services,Printing,Mero Design Studio,"Jeetpursimara-7, Jeetpur, Bara, Birgunj, Nepal",mdstudeo.com,"27.1329754097699,84.9567333599324",9815260676
Business Services,Printing,National Design House,"Bagbazar-28, Kathmandu, Kathmandu, Nepal",https://www.facebook.com/nationaldesignhouse36,"27.7053307168141,85.3197882718051",9803632154
Business Services,Printing,Smart Designs Pvt. Ltd.,"Pulchowk-03, Lalitpur, Nepal, Kathmandu",www.thesmartdesigns.com,"27.6742382786552,85.3149946333008",9841303749
Business Services,Printing,Multi Printo Fast,"103/1 Hanagulu Tole, Balkhu-14, Kathmandu, Nepal",multi-printo-fast.business.site/,"27.6864946297113,85.2975149452686",9841973720
Business Services,Printing,Amanmedia Service,"Thapa Chawk-9 Janakpurdham, Janakpur, Nepal",www.amanmediaservice.com,"26.7424700431058,85.9236790538864",9801628181
Business Services,Printing,Sarvottam Nepal Pvt. Ltd.,"Abhiyan Marg, Kathmandu, Kathmandu, Nepal",sarvottamnepal.com/,"27.7257548,85.3133495",9801089681
Business Services,Printing,J. A. Traders Pvt.Ltd.,"155 Nisthanand Marg Yangal, Kathmandu, Nepal",www.jatraders.com,"27.700692353083117,85.30753780057384",9851149187
Business Services,Printing,Karkalo Group,"Shankhamul Road, Kathmandu, Nepal, Kathmandu",karkalo.com,"27.6804,85",9847502170
Business Services,Printing,Malla Prints,"Vyas Nagar Palika 11, Damauli, Tanahun, Nepal, Damauli",www.mallaprints.com,"27.9774425263947,84.2675936222076",9846614388
Business Services,Printing,Manakamana Communication Service,"The 7 Storey Building (In front of Chabahil Stupa), Chabahil, Kathmandu Nepal, Kathmandu",www.mancom.com.np/,"27.7157163796568,85.3462922573089",9841445271
Business Services,Overseas Business,Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal, Mahendranagar",durga-beej-bhandar-agrochemicals-supplier.business.site/,"26.8663538357535,85.9636147521496",9807824963
Business Services,Overseas Business,WINDHORSE CARPET MANUFACTURER PVT. LTD.,"Gokarneshwor-9, Attarkhel, Kathmandu, Nepal",www.windhorsecarpet.com.np,"27.7375835256191,85.3854204385807",9803601601
Business Services,Overseas Business,Heritage Craft & Export,"Ichangu,Kathmandu, Nepal, Kathmandu",www.heritagecraft.com.np/,"27.7277590197446,85.2864494919777",9841942604
Business Services,Overseas Business,Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal, Pokhara",http://www.tienepal.com,"28.2025654,83.985008",9856032278
Business Services,Overseas Business,Wholesalenepal,"720 Thamel Marg, Kathmandu, Nepal",www.wholesalenepal.com,"27.7164266,85.3118850000001",9841815891
Business Services,Overseas Business,wholesalenepal Pvt Ltd WSN group,"PO Box 8974 - CPC 552, Kathmandu, Nepal",www.wholesalenepal.com,"27.7168966575856,85.3117884560879",9818677422
Business Services,Overseas Business,Samyak International Pvt Ltd,"Bhaktapur, Bhaktapur, Nepal",handicraftshopsnepal.com/,"27.6677178140727,85.4290008544922",9849825407
Business Services,Overseas Business,UNISTAR Education,"Siddhartha Chowk, Pokhara, Pokhara, Nepal",www.unistaredu.com,"28.2243267186929,83.9850279316306",9864428850
Business Services,Overseas Business,Aero-Ship Logistics Nepal Pvt. Ltd.,"PO Box 2191, Kathmandu, Nepal",www.aero-shiplogistics.com,"27.7138144136649,85.3032213449478",9851056414
Business Services,Overseas Business,City Export & Import Pvt.Ltd,"Boudha-6 Kathmandu, Kathmandu, Nepal",www.cityexportimport.com,"27.6768394027699,85.418701171875",9851142552
Business Services,Overseas Business,PREMIER HUMAN RESOURCE P LTD,"Dhapasi , kathmandu, Kathmandu, Nepal",www.premierhr.org,"28.3945549815429,84.1102750898438",9808860990
Business Services,Overseas Business,UNIO EXPORTS,"Thamel Center 312,Chaksibari Mark,infront of kathmandu guest house .ktm,Nepal., Kathmandu",www.unionepal.com,"27.7151289344669,85.3103962540627",9841385232
Business Services,Overseas Business,Wholesalers in Kathmandu,"720 Thamel Marg, Kathmandu, Nepal",www.onewholesale.asia,"27.7151556,85.3102194000001",9818677422
Business Services,Overseas Business,NepalFAQ,"720 thamel Marg, Kathmandu, Nepal",www.nepalfaq.com,"27.7143653,85.3112920999999",9818677422
Business Services,Retail Services,Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal, Mahendranagar",durga-beej-bhandar-agrochemicals-supplier.business.site/,"26.8663538357535,85.9636147521496",9807824963
Business Services,Retail Services,Prudential Services and Trading Pvt. Lt.,"chabahill, Kathmandu, Nepal",www.prudentialservices.com.np,"27.6908243595268,85.2902984619141",9840468618
Business Services,Retail Services,SLEEK KITCHEN CONCEPT,"Paschim Line, Itahari, Nepal",www.sleekworld.com,"26.6636553453894,87.2705900991973",9852055249
Business Services,Retail Services,Hamro Store (p) Ltd.,"Chapagaun-6, Lalitpur, Kathmandu, Nepal",www.hamrostore.com,"27.5914845,85.3265449",9851188334
Business Services,Retail Services,Mangalam Doree Industries,"Bajrang Tol Road, Behind Thakur Ram Campus, Adarshnagar, Birgunj, Nepal, Birgunj",mangalamdoreeindustries.business.site/,"27.0146076296484,84.8656916959247",9855022930
Business Services,Retail Services,Quick Stamp House,"Adwait marg, Putalisadak-31, Kathmandu, Nepal",www.quickstamp.com.np,"27.7027557596878,85.3229570388794",9813893512
Business Services,Retail Services,Aryan Mobile Gallery,"mahendrapool, infront of NTC building (medical line), Pokhara, Nepal",www.aryanmobile.com.np,"28.2232417750684,83.9906889186935",9856083621
Business Services,Retail Services,Number One Pest Control Pvt. Ltd.,"Janapath-6, Butwal, Nepal",numberonepestcontrolnepal.com,"27.6986521131579,83.4671473503113",9857037895
Business Services,Retail Services,Brother's Aluminium & House Wiring Service Center,"Chamati, Kathmandu, Nepal",www.brothersaluminium.com.np,"27.7223197362469,85.3003968880576",9813279706
Business Services,Retail Services,NGT Mobiles,"Indradev Marg, Narayangarh, Chitwan , Bharatpur, Nepal",www.ngtmobiles.com,"27.7108866034381,84.5343017578125",9845506426
Business Services,Retail Services,Ocean Plastic Industries,"Parwanipur, Birgunj, Nepal",ocean-plastic-industries.business.site,"27.0714530575996,84.9163554081335",9855035227
Business Services,Retail Services,Neelez Fashion Boutique,"Kumaripati, Laltipur, Kathmandu, Nepal",facebook.com/neelezfashionboutique,"27.6699765,85.3195661",9862375917
Business Services,Retail Services,Neo-Tech Engineering Pvt. Ltd.,"Koteshwor-35, Kathmandu, Nepal",www.neotechengg.com,"27.6837910969178,85.3487665876969",9851099585
Business Services,Retail Services,Online Saathi,"Koteshwor, Kathmandu, Nepal, Kathmandu",onlinesaathi.com/,"27.675568478385,85.3449495435791",9812370139
Business Services,Security Services,Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki, Pokhara, Nepal",www.gets.com.np,"0,0",9856026092
Business Services,Security Services,Garud International Pvt Ltd,"Jana Marga, Kathmandu, Kathmandu, Nepal",www.garudintl.com,"27.7383194,85.3430128",9801173025
Business Services,Security Services,SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom), Biratnagar, Nepal",www.squaretech.com.np,"26.468448,87.2784291",9801005554
Business Services,Security Services,Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal , Birgunj",www.quickfix.com.np,"27.0119265244853,84.8727750778198",9801716000
Business Services,Security Services,Pokhara Total Facility Management Company PVT.LTD,"Naya bazar 9 pokhara, Pokhara, Nepal",www.pokharatfm.com.np,"28.2189536,83.9907238999999",9856034998
Business Services,Security Services,Singh Solutions P. Ltd.,"New Road, Kathmandu, Nepal",www.groupsingh.com,"27.7026429589667,85.3118218481541",9851089987
Business Services,Security Services,Software Shark Tech Pvt Ltd,"chabhil, Kathmandu, Nepal",www.geotrack.com.np,"27.716132,85.346541",9801333378
Business Services,Security Services,Global Security and IT Solutions,"Janaki Nagar-7, Janakpur, Nepal",www.gssnepal.com,"26.7278458307471,85.9217709302902",9810067321
Business Services,Security Services,Planet Infosys P.Ltd,"Lalitpur, UN Park, Chakkuupath 22, Kathmandu, Nepal",www.planetinfosys.com.np/,"27.6942719862844,85.3291856325757",9851128029
Business Services,Security Services,Wholesale Bazaar Pvt. Ltd.,"Kathmandu, Kathmandu, Nepal",www.wholesellbazar.com,"27.685846224234,85.3487062454224",9807777077
Business Services,Security Services,E3,"Teku, Kathmandu, Nepal, Kathmandu",www.e3nepal.com.np,"27.6957737690087,85.3082209825516",9841473665
Business Services,Security Services,Muin International Pvt. Ltd,"Jwagal, Kupondole, Lalitpur, Nepal, Kathmandu",www.muinintl.com,"27.6852381921566,85.3199636936188",9851068979
